,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
37,р-н Центральный,20000.0,1,32.0,8.0,8,балкон,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,1,кирпичный,9,1,0,открытая во дворе,1,ул. Блинова
38,р-н Центральный,15000.0,1,42.0,7.0,2,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,1,0,кирпичный,3,0,0,открытая во дворе,0,ул. Ленина
39,р-н Центральный,20000.0,2,80.0,14.0,3,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,монолитный,10,1,1,за шлагбаумом во дворе,1,ул. Володарского
40,р-н Центральный,20000.0,2,80.0,13.0,8,лоджия,изолированные,раздельный,евро,"кухня, спальные места","холодильник, плита, стиральная машина, водонагреватель","Wi-Fi, телевидение",1,0,0,монолитно-кирпичный,9,1,0,открытая во дворе,1,пр-т Победы
41,р-н Центральный,20000.0,3,75.0,8.5,4,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, водонагреватель",Wi-Fi,1,0,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,ул. Ватутина
42,р-н Центральный,16000.0,2,61.0,8.5,9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",телевидение,1,0,0,панельный,9,1,0,открытая во дворе,1,ул. Димитрова
43,р-н Центральный,13000.0,1,34.0,7.0,6,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",Wi-Fi,0,0,0,кирпичный,9,0,0,,0,ул. Блинова
44,р-н Центральный,9000.0,1,39.0,10.0,7,лоджия,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
45,р-н Центральный,10000.0,1,38.0,9.0,7,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,панельный,16,1,1,открытая во дворе,1,пр-т Победы
46,р-н Сеймский,15000.0,3,52.0,9.0,3,,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,5,1,0,открытая во дворе,1,Магистральный пр.
47,р-н Центральный,18000.0,1,37.0,7.0,5,,,,евро,"кухня, хранение одежды","холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,панельный,9,1,0,открытая во дворе,1,ул. Радищева
