,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
203,"Курская область, Курск, пр-т Анатолия Дериглазова, 1",р-н Центральный,12 000 ₽ в месяц,2,61 м²,11 м²,5 из 17,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,да,нет,,,панельный,17,1,1,
204,"Курская область, Курск, Рябиновая ул., 26В",р-н Центральный,15 000 ₽ в месяц,2,39 м²,19 м²,2 из 9,балкон,смежные,раздельный,евро,"кухня, спальные места","холодильник, плита, стиральная машина",телевидение,да,нет,нет,,монолитный,9,,,
205,"Курская область, Курск, пр-т Анатолия Дериглазова, 37",р-н Центральный,9 500 ₽ в месяц,2,60 м²,12 м²,9 из 17,,изолированные,раздельный,косметический,"хранение одежды, спальные места","холодильник, плита, телевизор",,да,нет,нет,,панельный,17,1,1,открытая во дворе
206,"Курская область, Курск, ул. Перекальского, 11",р-н Центральный,18 000 ₽ в месяц,2,60 м²,11 м²,3 из 10,лоджия,изолированные,,евро,"кухня, хранение одежды, спальные места","плита, стиральная машина",Wi-Fi,да,нет,нет,,кирпичный,10,1,,открытая во дворе
207,"Курская область, Курск, ул. Карла Либкнехта, 2",р-н Центральный,14 000 ₽ в месяц,2,40 м²,10 м²,5 из 9,лоджия,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,нет,,кирпичный,9,1,,открытая во дворе
208,"Курская область, Курск, ул. Радищева, 71к2",р-н Центральный,12 000 ₽ в месяц,1,33 м²,6 м²,5 из 5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,нет,нет,нет,,кирпичный,5,,,
209,"Курская область, Курск, ул. Халтурина, 5",р-н Центральный,12 000 ₽ в месяц,3,60 м²,6 м²,2 из 5,балкон,смежные,раздельный,косметический,"кухня, спальные места","плита, стиральная машина",,нет,нет,нет,,кирпичный,5,нет,нет,
210,"Курская область, Курск, Центральный округ, Школьная ул., 5к1",р-н Центральный,12 000 ₽ в месяц,3,56 м²,6 м²,1 из 4,,изолированные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",телевидение,да,да,нет,,кирпичный,4,нет,нет,открытая во дворе
211,"Курская область, Курск, пр-т Анатолия Дериглазова, 53",р-н Центральный,7 500 ₽ в месяц,1,37 м²,12 м²,5 из 17,балкон,,совмещенный,косметический,,плита,,да,нет,,,панельный,17,1,1,
212,"Курская область, Курск, микрорайон Северо-Западный, Майский б-р, 11",р-н Центральный,11 000 ₽ в месяц,1,41 м²,9 м²,9 из 10,балкон,,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,нет,нет,нет,,панельный,10,1,,"наземная многоуровневая, открытая во дворе"
213,"Курская область, Курск, пр-т Ленинского Комсомола, 91",р-н Сеймский,9 000 ₽ в месяц,1,33 м²,7 м²,3 из 5,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,да,нет,нет,,кирпичный,5,,,открытая во дворе
214,"Курская область, Курск, ул. Димитрова, 71",р-н Центральный,20 000 ₽ в месяц,2,48 м²,8 м²,9 из 9,лоджия,изолированные,раздельный,евро,,"холодильник, плита, стиральная машина, телевизор",Wi-Fi,да,нет,да,,панельный,9,1,нет,за шлагбаумом во дворе
215,"Курская область, Курск, пр-т Победы, 24",р-н Центральный,20 000 ₽ в месяц,1,40 м²,10 м²,3 из 17,балкон,,,дизайнерский,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,,,панельный,17,1,1,открытая во дворе
216,"Курская область, Курск, микрорайон Северо-Западный, Майский б-р, 11",р-н Центральный,9 000 ₽ в месяц,1,41 м²,18 м²,7 из 10,лоджия,,раздельный,косметический,"кухня, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,10,1,,
